Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,127.5,127.86000061035156,124.77999877929688,125.87000274658203,113.58029174804688,16819900
2021-01-05,124.98999786376953,126.30000305175781,123.7699966430664,125.6500015258789,114.19833374023438,13731200
2021-01-06,129.8800048828125,132.77000427246094,127.87999725341797,131.5500030517578,119.56060791015625,24909100
2021-01-07,135.69000244140625,138.19000244140625,134.9199981689453,135.8699951171875,123.48687744140625,21940400
2021-01-08,135.97000122070312,136.35000610351562,134.1199951171875,136.02000427246094,123.62322235107422,12035100
2021-01-11,134.5800018310547,138.1999969482422,134.11000061035156,138.0500030517578,125.46818542480469,15937900
2021-01-12,139.44000244140625,141.66000366210938,138.8300018310547,140.22000122070312,127.44044494628906,18033500
2021-01-13,138.58999633789062,140.7899932861328,138.10000610351562,140.35000610351562,127.5586166381836,14816800
2021-01-14,140.49000549316406,142.75,140.0,141.1699981689453,128.3038787841797,18565600
2021-01-15,137.42999267578125,141.64999389648438,137.00999450683594,138.63999938964844,126.00444030761719,27881000
2021-01-19,139.86000061035156,140.6999969482422,137.82000732421875,138.0399932861328,125.45911407470703,19843800
2021-01-20,137.82000732421875,138.1699981689453,135.44000244140625,135.97000122070312,123.57776641845703,16028800
2021-01-21,135.69000244140625,136.16000366210938,134.32000732421875,134.8300018310547,122.54166412353516,13411700
2021-01-22,132.69000244140625,134.39999389648438,132.1999969482422,133.7899932861328,121.59645080566406,12933200
2021-01-25,132.13999938964844,133.1699981689453,130.05999755859375,132.1199951171875,120.07865905761719,14212800
2021-01-26,132.75,133.1699981689453,131.33999633789062,131.5800018310547,119.587890625,11307800
2021-01-27,129.58999633789062,129.85000610351562,127.3499984741211,127.86000061035156,116.20691680908203,17603900
2021-01-28,129.89999389648438,132.1699981689453,128.99000549316406,130.11000061035156,118.25184631347656,13761800
2021-01-29,131.19000244140625,131.72000122070312,128.19000244140625,128.6699981689453,116.94309997558594,14808100
2021-02-01,129.39999389648438,130.07000732421875,128.47999572753906,129.6199951171875,117.8064956665039,11080700
2021-02-02,131.94000244140625,134.38999938964844,131.22000122070312,133.61000061035156,121.43284606933594,12253600
2021-02-03,133.64999389648438,135.75999450683594,133.50999450683594,135.13999938964844,122.82341003417969,10600800
2021-02-04,135.47000122070312,138.66000366210938,135.47000122070312,138.25,125.64997100830078,12419500
2021-02-05,139.38999938964844,139.49000549316406,137.3800048828125,137.97999572753906,125.40458679199219,10051300
2021-02-08,138.1999969482422,140.3000030517578,138.17999267578125,140.13999938964844,127.36774444580078,10136400
2021-02-09,139.42999267578125,139.97999572753906,138.5399932861328,139.5800018310547,126.85875701904297,8614800
2021-02-10,140.0,140.8699951171875,139.0399932861328,139.66000366210938,126.93147277832031,10323200
2021-02-11,139.66000366210938,140.5500030517578,138.22000122070312,139.27000427246094,126.57698822021484,9201000
2021-02-12,139.0500030517578,141.61000061035156,139.0,141.25,128.37655639648438,8324600
2021-02-16,143.5500030517578,145.32000732421875,142.39999389648438,144.64999389648438,131.46665954589844,12130600
2021-02-17,143.9499969482422,145.3800048828125,143.1199951171875,145.10000610351562,131.87567138671875,10810100
2021-02-18,144.0,145.7899932861328,143.39999389648438,145.58999633789062,132.3209991455078,10587800
2021-02-19,145.86000061035156,148.83999633789062,145.86000061035156,148.02000427246094,134.52952575683594,11969800
2021-02-22,146.8699951171875,150.19000244140625,146.7899932861328,149.41000366210938,135.79286193847656,11488400
2021-02-23,151.50999450683594,152.30999755859375,149.58999633789062,150.61000061035156,136.8834991455078,16234400
2021-02-24,150.11000061035156,153.75999450683594,150.11000061035156,153.25999450683594,139.29197692871094,15061400
2021-02-25,154.27000427246094,154.89999389648438,150.58999633789062,151.17999267578125,137.4015350341797,18127700
2021-02-26,150.3000030517578,150.8699951171875,146.50999450683594,147.1699981689453,133.7570037841797,19829200
2021-03-01,149.52000427246094,151.3800048828125,148.47999572753906,150.5,136.78347778320312,14845500
2021-03-02,150.0800018310547,151.77999877929688,149.83999633789062,150.00999450683594,136.33816528320312,14221700
2021-03-03,151.22999572753906,154.97999572753906,150.82000732421875,152.91000366210938,138.973876953125,14324100
2021-03-04,152.61000061035156,154.3800048828125,148.6199951171875,150.55999755859375,136.83804321289062,20093900
2021-03-05,153.22000122070312,153.49000549316406,147.97000122070312,150.91000366210938,137.15614318847656,18465100
2021-03-08,152.47000122070312,155.4600067138672,150.75,152.91000366210938,138.973876953125,17133300
2021-03-09,151.5,154.25,149.82000732421875,151.8300018310547,137.9923095703125,16238800
2021-03-10,151.91000366210938,156.16000366210938,151.50999450683594,155.1300048828125,140.99156188964844,14342200
2021-03-11,154.11000061035156,156.14999389648438,153.36000061035156,154.32000732421875,140.25537109375,11771500
